Number of Violent Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"1,912","1,811","1,965","1,931","1,776","1,466","1,369","1,328","1,473","1,618"
Fraser Valley,RCMP Provincial,Agassiz Prov (2),197,180,205,133,90,101,92,85,88,92
Mount Waddington,RCMP Provincial,Alert Bay Prov,80,121,91,101,85,103,80,60,53,59
Cariboo,RCMP Provincial,Alexis Creek Prov,170,164,139,124,87,108,90,85,81,48
Cariboo,RCMP Provincial,Anahim Lake Prov,79,86,72,66,45,57,69,58,44,29
North Okanagan,RCMP Provincial,Armstrong Prov (3),109,54,83,91,96,120,72,49,31,37
Thompson Nicola,RCMP Provincial,Ashcroft Prov,123,145,116,89,105,90,65,63,60,66
Kitimat Stikine,RCMP Provincial,Atlin Prov,19,26,28,27,20,28,41,20,19,18
Thompson Nicola,RCMP Provincial,Barriere Prov,67,67,86,59,61,44,49,64,69,58
Central Coast,RCMP Provincial,Bella Bella Prov (4),150,130,118,167,146,131,123,119,85,33
Central Coast,RCMP Provincial,Bella Coola Prov,95,113,72,96,121,81,109,48,57,66
Fraser Valley,RCMP Provincial,Boston Bar Prov,30,25,24,19,28,22,19,21,13,13
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),86,104,113,132,162,133,88,91,56,85
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),34,31,42,70,59,48,30,20,41,34
Metro Vancouver,RCMP Provincial,Bowen Island Prov,26,14,21,21,17,34,14,25,27,38
Metro Vancouver,RCMP Municipal,Burnaby Mun,"3,127","3,035","2,886","2,928","2,318","2,193","1,911","1,654","1,702","1,810"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,449,411,298,327,277,234,198,158,182,156
Strathcona,RCMP Municipal,Campbell River Mun,971,913,767,746,730,653,586,508,468,498
Strathcona,RCMP Provincial,Campbell River Prov,100,112,58,90,72,77,91,60,56,75
Central Kootenay,RCMP Municipal,Castlegar Mun,207,164,189,137,187,203,192,170,132,141
Central Kootenay,RCMP Provincial,Castlegar Prov (5),56,57,54,50,67,72,84,56,72,61
Capital,Independent Municipal,Central Saanich Mun,99,119,96,113,102,82,89,92,89,82
Thompson Nicola,RCMP Provincial,Chase Prov,133,148,143,159,126,95,91,80,86,71
Peace River,RCMP Provincial,Chetwynd Prov,246,228,168,145,151,126,112,114,103,106
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"1,435","1,195","1,118","1,311","1,145","1,238","1,201","1,078","1,079","1,222"
Fraser Valley,RCMP Provincial,Chilliwack Prov,58,87,117,92,102,87,75,92,101,98
Thompson Nicola,RCMP Provincial,Clearwater Prov,72,80,73,80,63,60,60,55,59,58
Thompson Nicola,RCMP Provincial,Clinton Prov,39,34,30,38,50,35,25,34,21,28
North Okanagan,RCMP Municipal,Coldstream Mun,46,48,76,85,60,61,59,66,47,53
East Kootenay,RCMP Provincial,Columbia Valley Prov,237,119,194,189,172,162,153,155,108,155
Capital,RCMP Municipal,Colwood Mun,166,170,174,122,101,110,108,80,90,105
Comox Valley,RCMP Municipal,Comox Mun,91,92,105,84,71,107,90,71,82,90
Comox Valley,RCMP Provincial,Comox Valley Prov,287,264,198,240,267,217,254,174,221,203
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),"1,500","1,201","1,128","1,128","1,074",936,"1,008",952,934,986
Metro Vancouver,RCMP Provincial,Coquitlam Prov,23,5,16,22,17,8,11,10,12,17
Comox Valley,RCMP Municipal,Courtenay Mun,571,611,466,570,492,538,498,425,403,473
East Kootenay,RCMP Municipal,Cranbrook Mun,437,451,457,511,543,570,513,443,389,450
East Kootenay,RCMP Provincial,Cranbrook Prov,50,79,73,84,105,93,83,87,53,69
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,76,70,60,71
Central Kootenay,RCMP Provincial,Creston Prov (6),227,215,217,184,198,151,93,52,46,87
Peace River,RCMP Municipal,Dawson Creek Mun,334,345,333,288,297,365,381,338,317,330
Peace River,RCMP Provincial,Dawson Creek Prov,69,46,47,65,50,52,62,53,68,56
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,80,105,68,81,59,51,61,60,65,48
Metro Vancouver,Independent Municipal,Delta Mun (1),"1,130",927,"1,037","1,030",886,780,699,593,589,592
Cowichan Valley,RCMP Provincial,Duncan Prov,654,550,468,354,327,367,304,353,314,358
East Kootenay,RCMP Provincial,Elk Valley Prov (7),288,227,244,245,256,221,193,193,139,127
North Okanagan,RCMP Provincial,Enderby Prov,164,120,90,84,109,122,96,111,81,85
Columbia Shuswap,RCMP Provincial,Falkland Prov,25,49,29,26,36,31,29,28,18,24
Bulkley Nechako,RCMP Provincial,Fort St James Prov,407,372,344,301,276,329,336,327,239,215
Peace River,RCMP Municipal,Fort St John Mun,718,634,765,802,760,720,708,557,579,668
Peace River,RCMP Provincial,Fort St John Prov,252,185,188,215,231,168,196,192,198,177
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,82,88,147,95,97,82,91,58,36,54
Nanaimo,RCMP Provincial,Gabriola Island Prov,34,55,56,52,53,30,25,25,43,32
Columbia Shuswap,RCMP Provincial,Golden Prov,139,139,141,132,116,124,101,114,89,109
Fraser Valley,RCMP Municipal,Hope Mun,174,160,173,167,153,166,173,120,141,167
Fraser Valley,RCMP Provincial,Hope  Prov,37,29,27,19,40,35,24,29,15,33
Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),148,142,143,149,128,147,162,117,96,114
Peace River,RCMP Provincial,Hudson's Hope Prov,15,16,26,33,13,19,22,9,17,11
Thompson Nicola,RCMP Municipal,Kamloops Mun,"2,479","2,313","2,068","2,126","2,090","1,942","1,806","1,835","1,415","1,097"
Central Kootenay,RCMP Provincial,Kaslo Prov (5),57,34,18,23,23,30,42,51,23,39
Central Okanagan,RCMP Municipal,Kelowna Mun,"2,323","2,580","2,534","2,550","2,425","2,253","2,121","1,525","1,482","1,589"
Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)",633,743,694,307,262,227,218,185,153,141
Fraser Valley,RCMP Municipal,Kent Mun (2),-,-,-,52,100,107,96,101,108,109
Okanagan Similkameen,RCMP Provincial,Keremeos Prov,62,74,76,67,54,111,77,58,72,72
East Kootenay,RCMP Municipal,Kimberley Mun,94,75,115,95,95,65,84,80,45,52
East Kootenay,RCMP Provincial,Kimberley Prov,19,25,4,17,18,9,22,5,9,10
Kitimat Stikine,RCMP Municipal,Kitimat Mun,185,198,199,267,251,283,254,242,163,193
Kitimat Stikine,RCMP Provincial,Kitimat Prov,21,26,13,15,18,2,10,10,17,19
Cowichan Valley,RCMP Municipal,Ladysmith Mun,80,63,86,113,108,110,96,78,62,92
Cowichan Valley,RCMP Provincial,Ladysmith Prov,83,77,84,86,83,84,88,52,71,72
Central Okanagan,RCMP Municipal,Lake Country Mun,118,156,174,139,126,130,191,124,112,127
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,182,136,128,140,149,136,63,89,87,111
Capital,RCMP Municipal,Langford Mun,461,443,456,474,382,332,343,295,297,275
Metro Vancouver,RCMP Municipal,Langley City Mun,603,431,425,434,436,477,512,420,383,389
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"1,149","1,153",996,"1,009",853,888,"1,024",867,819,860
Squamish Lillooet,RCMP Provincial,Lillooet Prov,113,85,78,99,120,99,153,105,81,56
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,170,212,146,162,159,141,145,119,72,79
Thompson Nicola,RCMP Provincial,Logan Lake Prov,50,59,40,54,34,35,24,29,33,28
North Okanagan,RCMP Provincial,Lumby Prov,89,56,93,88,74,63,88,74,45,80
Thompson Nicola,RCMP Provincial,Lytton Prov,108,100,57,65,82,69,66,45,38,67
Fraser Fort George,RCMP Provincial,Mackenzie Prov,169,137,98,89,106,147,159,113,136,86
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"1,120","1,233","1,140","1,132","1,169",969,991,906,906,"1,074"
North Coast Regional District (22),RCMP Provincial,Masset Prov,170,137,125,126,102,71,106,64,68,61
Fraser Fort George,RCMP Provincial,McBride Prov,33,23,23,15,26,30,28,30,15,9
Thompson Nicola,RCMP Municipal,Merritt Mun,318,307,245,234,243,245,298,261,217,212
Thompson Nicola,RCMP Provincial,Merritt Prov,118,97,70,78,60,76,73,67,71,70
Fraser Valley,RCMP Municipal,Mission Mun,786,683,750,768,716,654,637,575,538,647
Fraser Valley,RCMP Provincial,Mission Prov,93,62,70,87,62,74,68,51,62,52
Central Kootenay,RCMP Provincial,Nakusp Prov (5),43,45,51,52,61,36,44,65,43,34
Nanaimo,RCMP Municipal,Nanaimo Mun (1),"2,225","1,737","1,632","1,636","1,693","1,403","1,429","1,422","1,127","1,134"
Nanaimo,RCMP Provincial,Nanaimo Prov,174,131,102,107,106,118,89,77,87,86
Central Kootenay,Independent Municipal,Nelson Mun,162,163,112,127,150,179,183,189,156,178
Central Kootenay,RCMP Provincial,Nelson Prov (5),106,93,109,64,87,86,82,75,57,54
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,330,292,288,375,368,396,334,297,305,206
Metro Vancouver,Independent Municipal,New Westminster Mun,"1,437","1,314","1,204","1,058","1,122",939,"1,014",953,874,876
Strathcona,RCMP Provincial,Nootka Sound Prov,66,67,54,36,47,28,56,67,48,50
Cowichan Valley,RCMP Municipal,North Cowichan Mun,500,499,409,454,344,401,387,413,387,396
Capital,RCMP Municipal,North Saanich Mun,58,43,42,49,77,77,41,30,38,53
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",772,639,531,609,597,578,598,486,484,527
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),660,591,509,533,571,501,501,421,354,382
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",73,62,92,67,91,73,84,54,61,46
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,159,186,156
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),358,359,258,269,223,254,251,131,69,103
Capital,Independent Municipal,Oak Bay Mun,47,74,53,56,60,26,48,47,59,40
Nanaimo,RCMP Provincial,Oceanside Prov ,303,244,135,176,158,158,136,141,135,125
Cariboo,RCMP Provincial,One Hundred Mile House Prov,290,190,171,194,158,165,146,128,130,131
Capital,RCMP Provincial,Outer Gulf  Islands Prov,53,38,35,27,33,26,16,17,23,20
Nanaimo,RCMP Municipal,Parksville Mun,205,179,156,145,103,118,114,131,86,126
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,28,27,42,26
Squamish Lillooet,RCMP Provincial,Pemberton Prov,58,51,73,66,60,49,72,56,62,77
Okanagan Similkameen,RCMP Municipal,Penticton Mun,776,806,700,862,792,779,576,409,398,480
Okanagan Similkameen,RCMP Provincial,Penticton Prov,138,129,120,117,81,99,84,52,65,53
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),201,257,260,247,207,185,167,162,213,223
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,727,660,652,527,457,527,443,446,385,383
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,136,125,96,86,88,80,82,68,53,47
Mount Waddington,RCMP Provincial,Port Alice Prov,24,18,22,19,22,22,6,8,8,9
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),791,660,565,589,521,521,589,566,513,577
Mount Waddington,RCMP Provincial,Port Hardy Prov,357,243,178,166,149,164,174,170,172,138
Mount Waddington,RCMP Provincial,Port McNeill Prov,112,146,108,78,78,38,50,43,49,48
Metro Vancouver,Independent Municipal,Port Moody Mun,227,216,188,233,197,154,169,177,119,119
Powell River,RCMP Municipal,Powell River Mun,286,321,273,284,171,216,196,194,180,167
Powell River,RCMP Provincial,Powell River Prov,140,116,90,108,95,76,65,83,43,48
Fraser Fort George,RCMP Municipal,Prince George Mun,"2,734","2,516","1,902","2,063","2,275","2,205","2,192","1,819","1,584","1,538"
Fraser Fort George,RCMP Provincial,Prince George Prov,132,132,114,125,136,114,123,89,85,89
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,739,893,779,717,651,683,580,480,450,485
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),110,129,138,74,90,120,105,55,73,79
Okanagan Similkameen,RCMP Provincial,Princeton Prov,100,100,81,113,100,109,82,100,69,69
Strathcona,RCMP Provincial,Quadra Island Prov,77,48,36,28,44,33,20,16,15,15
Nanaimo,RCMP Municipal,Qualicum Beach Mun,60,93,69,55,51,50,46,31,29,30
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,92,94,102,49,54,48,46,37,16,33
Cariboo,RCMP Municipal,Quesnel Mun,564,504,511,500,421,457,472,377,324,414
Cariboo,RCMP Provincial,Quesnel Prov,186,209,212,208,197,171,155,202,147,162
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,159,135,137,119,88,105,121,95,68,59
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,10,18,11,7,8,9,6,8,3,5
Metro Vancouver,RCMP Municipal,Richmond Mun,"1,720","1,842","1,873","1,893","1,862","1,579","1,382","1,395","1,356","1,343"
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",21,6,88,185,242,211,181,217,5,21
Capital,Independent Municipal,Saanich Mun,892,853,830,933,972,863,893,722,683,858
Central Kootenay,RCMP Provincial,Salmo Prov (5),50,60,66,60,54,94,65,57,39,36
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,324,359,327,324,251,336,248,241,153,188
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,126,131,114,118,76,79,77,49,65,76
Capital,RCMP Provincial,Saltspring Island Prov,149,141,126,139,145,105,71,87,64,61
Strathcona,RCMP Provincial,Sayward Prov,26,27,32,13,8,6,8,9,7,5
Sunshine Coast,RCMP Municipal,Sechelt Mun,126,109,188,173,132,108,127,96,91,104
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,163,157,156,161,138,125,156,153,126,171
Columbia Shuswap,RCMP Provincial,Sicamous Prov,96,64,46,53,47,51,60,53,38,56
Capital,RCMP Municipal,Sidney Mun,98,113,120,141,125,123,108,99,70,60
Capital,RCMP Provincial,Sidney Prov,82,99,100,119,107,109,59,67,62,88
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),17,23,5,29,50,53,43,44,40,34
Bulkley Nechako,RCMP Municipal,Smithers Mun,251,236,237,252,223,184,192,200,162,146
Bulkley Nechako,RCMP Provincial,Smithers Prov,134,150,120,150,126,159,139,96,110,108
Capital,RCMP Municipal,Sooke Mun,167,196,185,179,182,158,90,94,105,111
Capital,RCMP Provincial,Sooke Prov,76,67,51,61,81,51,27,23,32,55
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),128,134,141,210,160,139,166,89,116,103
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),94,107,144,135,117,93,61,89,88,73
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,25,43,21,28
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),460,461,408,376,369,352,374,350,317,289
Squamish Lillooet,RCMP Provincial,Squamish Prov,31,23,17,22,10,15,25,18,25,25
Kitimat Stikine,RCMP Provincial,Stewart Prov,9,16,8,9,12,15,11,16,17,10
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),222,208,196,176,204,124,160,180,142,164
Okanagan Similkameen,RCMP Municipal,Summerland Mun,115,141,132,100,70,94,84,72,60,47
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),232,251,327,336,223,249,209,165,137,172
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"8,447","8,471","8,455","8,470","8,309","7,630","7,194","5,750","5,629","7,632"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,36,24,19,28,35,27,35,35,43,15
Kitimat Stikine,RCMP Municipal,Terrace Mun,564,553,500,475,402,402,351,343,302,342
Kitimat Stikine,RCMP Provincial,Terrace Prov,181,178,148,171,148,152,131,115,115,142
Powell River,RCMP Provincial,Texada Island Prov,10,7,17,6,9,8,16,4,7,18
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,149,188,180,162,179,151,124,106,119,111
Alberni Clayoquot,RCMP Provincial,Tofino Prov,155,168,161,155,94,126,128,126,70,148
Kootenay Boundary,RCMP Municipal,Trail Mun,178,209,197,176,198,220,241,173,145,125
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",92,133,98,119,110,117,122,94,63,88
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,112,95,114,103,90,72,85,68,52,50
Peace River,RCMP Provincial,Tumbler Ridge Prov,100,99,88,75,54,47,42,34,31,37
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,91,83,104,80,73,57,53,51,49,53
Metro Vancouver,RCMP Provincial,University Prov,119,96,114,120,152,111,138,102,126,144
Fraser Fort George,RCMP Provincial,Valemount Prov,42,31,40,55,25,23,32,48,26,48
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"11,015","10,769","10,858","10,838","10,442","10,055","9,218","8,832","8,221","8,007"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,199,287,254,223,208,222,210,225,178,204
North Okanagan,RCMP Municipal,Vernon Mun,820,908,995,"1,012",850,724,822,804,652,650
North Okanagan,RCMP Provincial,Vernon Prov,103,110,138,127,121,118,100,95,76,60
Capital,Independent Municipal,Victoria Mun (21),"2,329","2,383","2,526","2,562","2,867","2,361","2,139","2,074","2,299","2,572"
Capital,RCMP Municipal,View Royal Mun,106,89,100,137,121,93,73,61,68,60
Cariboo,RCMP Provincial,Wells Prov,6,1,4,5,5,5,7,2,9,11
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,338,276,254,255,242,179,230
Capital,RCMP Provincial,West Shore Prov,112,105,130,114,134,92,67,64,55,47
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),394,384,337,290,292,323,336,312,268,313
Squamish Lillooet,RCMP Municipal,Whistler Mun,253,303,258,270,211,238,266,235,189,215
Squamish Lillooet,RCMP Provincial,Whistler Prov,2,3,3,5,0,0,1,2,2,1
Metro Vancouver,RCMP Municipal,White Rock Mun,221,180,148,184,201,157,132,104,107,146
Cariboo,RCMP Municipal,Williams Lake Mun,628,575,642,567,587,586,622,537,529,437
Cariboo,RCMP Provincial,Williams Lake Prov,172,181,241,179,167,157,196,178,149,123
,,BRITISH COLUMBIA (23),"79,693","76,802","73,891","74,496","71,139","66,927","63,904","57,231","53,209","56,994"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Violent Crimes include the offences of homicide, attempted murder, sexual and non-sexual assault, sexual offences against children, abduction, forcible confinement or kidnapping, robbery, criminal harassment, extortion, uttering threats, and threatening or harassing phone calls.  ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,