Area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Abbotsford Mun,195,199,204,209,210,216,217,216,212,212
Agassiz Prov,12,12,12,7,7,7,7,8,8,8
Alert Bay Prov,3,3,3,3,3,3,3,3,4,4
Alexis Creek Prov,5,5,5,5,5,5,5,5,5,5
Anahim Lake Prov,4,4,4,4,4,4,4,4,4,4
Armstrong Prov,8,8,8,8,8,8,5,5,6,6
Ashcroft Prov,5,5,5,5,5,5,5,5,5,5
Atlin Prov,3,3,3,3,3,3,3,3,3,3
Barriere Prov,4,4,4,4,4,4,4,4,4,4
Bella Bella Prov,5,5,5,5,5,5,5,5,5,5
Bella Coola Prov,3,3,3,3,3,3,3,3,4,4
Boston Bar Prov,3,3,3,3,3,3,3,3,3,3
Bowen Island Prov,2,3,3,3,3,3,3,3,3,3
Burnaby Mun,265,265,265,277,277,277,277,277,277,277
Burns Lake Prov,11,11,11,11,11,11,11,11,11,11
Campbell River Mun,41,43,43,43,43,43,43,43,43,43
Campbell River Prov,7,7,7,7,7,7,7,7,7,7
Castlegar Mun,11,11,13,13,13,13,13,13,13,13
Central Saanich Mun,21,21,22,23,23,23,23,23,23,26
Chase Prov,9,9,9,9,9,9,9,9,9,9
Chetwynd Prov,9,10,10,10,10,10,10,10,10,10
Chilliwack Mun,91,94,95,103,104,105,106,107,107,108
Chilliwack Prov,8,8,8,8,8,8,8,8,8,8
Clearwater Prov,5,5,5,5,5,5,5,6,6,6
Clinton Prov,4,4,4,4,4,4,4,4,4,4
Coldstream Mun,7,7,7,7,7,7,7,7,7,7
Columbia Valley Prov,12,12,12,11,11,11,11,11,11,11
Colwood Mun,16,16,16,16,16,16,17,17,17,17
Comox Mun,10,11,12,12,12,12,12,12,12,12
Comox Valley Prov,19,19,19,19,19,19,19,19,19,19
Coquitlam Mun,134,140,142,148,148,152,152,152,152,156
Coquitlam Prov,3,3,3,3,3,3,3,3,3,3
Courtenay Mun,26,26,28,28,28,30,30,30,30,30
Cranbrook Mun,24,24,25,26,26,26,26,26,26,26
Cranbrook Prov,4,4,4,4,4,4,4,4,4,4
Creston Mun,,,,,,,7,7,7,7
Creston Prov,13,13,13,13,13,13,6,6,6,6
Dawson Creek Mun,22,23,23,23,24,24,25,25,25,25
Dawson Creek Prov,4,4,4,4,4,4,4,4,4,4
Dease Lake Prov,6,6,6,6,6,6,6,6,7,7
Delta Mun,151,160,160,165,165,170,170,170,173,173
Duncan Prov,21,21,21,22,23,23,23,23,23,23
Elk Valley Detachment,18,18,18,18,18,18,18,18,18,18
Elkford Prov,3,3,3,3,3,3,3,3,3,3
Fernie Prov,9,9,9,9,9,9,9,9,9,9
Sparwood Prov,6,6,6,6,5,5,5,5,5,5
Enderby Prov,8,8,8,6,6,6,6,6,8,8
Falkland Prov,3,3,3,3,3,3,3,3,3,3
Fort St. James Prov,14,14,14,14,14,14,13,13,13,13
Fort St. John Mun,28,29,32,32,34,34,34,34,34,36
Fort St. John Prov,10,10,10,10,10,10,10,10,10,10
Fraser Lake Prov,5,5,5,5,5,5,5,5,5,5
Gabriola Island Prov,3,3,3,3,3,3,3,3,3,3
Golden Prov,11,11,11,11,11,11,11,11,11,11
Hope Mun,13,13,13,13,13,13,13,13,13,13
Hope Prov,5,5,5,5,5,5,5,5,5,5
Houston Granisle Detachment,6,6,6,6,6,6,6,6,9,9
Hudsons Hope Prov,3,3,3,3,3,3,3,3,3,3
Kamloops Mun,120,120,124,124,124,124,124,124,124,136
Kelowna Mun,139,141,154,154,156,160,174,177,179,185
Kelowna Prov,33,33,34,16,18,18,15,15,15,15
Kent Mun,,,,5,5,5,5,5,6,6
Keremeos Prov,5,5,5,5,5,6,6,6,6,6
Kimberley Mun,9,9,9,9,9,8,8,8,8,8
Kimberley Prov,2,2,2,2,2,2,2,2,2,2
Kitimat Mun,15,15,15,15,15,15,15,15,16,18
Kitimat Prov,2,2,2,2,2,2,2,2,2,2
Kootenay Boundary Regional Detachment,48,49,50,53,53,53,53,53,53,53
Castlegar Prov,4,4,4,3,3,3,3,3,3,3
Grand Forks Prov,8,9,10,10,10,10,10,10,10,10
Kaslo Prov,3,3,3,3,3,3,3,3,3,3
Midway Prov,4,4,4,4,4,4,4,4,4,4
Nakusp Prov,4,4,4,4,4,4,4,4,4,4
Nelson Prov,8,8,8,6,6,6,6,6,6,6
Salmo Prov,4,4,4,4,4,4,4,4,4,4
Slocan Lake Prov,3,3,3,3,3,3,3,3,3,3
Trail & Greater District Prov,10,10,10,8,8,8,8,8,8,8
Ladysmith Mun,7,7,7,7,7,7,7,7,7,7
Ladysmith Prov,5,5,5,5,5,5,5,5,5,5
Lake Country Mun,9,10,11,11,12,12,12,12,12,12
Lake Cowichan Prov,10,10,10,10,10,10,10,10,10,10
Langford Mun,25,25,26,26,26,27,28,29,30,30
Langley City Mun,46,47,50,50,50,50,50,50,50,50
Langley Township Mun,123,129,133,133,133,133,134,134,135,138
Lillooet Prov,7,7,7,7,7,7,7,7,7,7
Lisims-Nass Valley Prov,4,4,4,4,4,4,4,4,4,4
Logan Lake Prov,3,3,3,3,3,3,3,3,3,3
Lumby Prov,5,5,5,5,5,5,5,5,5,5
Lytton Prov,4,4,4,4,4,4,4,4,4,4
Mackenzie Prov,10,10,10,10,10,10,10,10,10,10
Maple Ridge Mun,81,86,89,89,89,89,89,93,94,96
Masset Prov,7,7,7,7,7,7,7,7,7,7
McBride Prov,3,3,3,3,3,3,3,4,4,4
Merritt Mun,13,13,13,15,15,15,15,15,15,15
Merritt Prov,4,5,5,5,5,5,5,5,5,5
Mission Mun,48,48,52,52,52,52,50,50,50,50
Mission Prov,5,5,5,5,5,5,5,5,5,5
Nanaimo Mun,118,118,123,125,135,135,140,145,145,145
Nanaimo Prov,6,6,6,6,6,6,6,7,7,7
Nelson City Mun,17,20,18,17,17,17,17,17,17,19
New Hazelton Prov,10,10,10,10,10,10,10,10,10,10
New Westminster Mun,107,107,107,108,108,108,108,108,108,108
Nootka Sound Prov,5,5,5,5,5,5,5,6,6,6
North Cowichan Mun,28,28,30,30,30,30,31,31,31,31
North Saanich Mun,11,11,11,11,11,11,11,11,11,11
North Vancouver City Mun,64,64,64,64,64,64,64,64,64,64
North Vancouver District Mun,91,91,91,91,91,91,91,91,91,91
North Vancouver Prov,2,2,2,2,2,2,2,2,2,2
Northern Rockies Mun,,,,,11,11,,11,11,11
Northern Rockies Prov,15,15,15,15,4,4,15,4,4,4
Oak Bay Mun,22,22,23,23,23,23,23,23,23,23
Oceanside Prov,12,12,12,12,12,12,12,12,12,12
Oliver Prov,9,10,10,10,10,10,10,9,9,9
One Hundred Mile House Prov,13,13,13,13,13,13,13,13,13,13
Osoyoos Prov,8,8,8,8,8,8,8,9,9,9
Outer Gulf Islands Prov,4,4,4,4,4,4,4,5,5,5
Parksville Mun,14,15,15,15,16,16,16,16,16,16
Peachland Mun,,,,,,,4,4,4,4
Pemberton Prov,7,10,10,10,10,10,9,9,9,9
Penticton Mun,44,45,45,45,45,45,45,45,45,45
Penticton Prov,6,6,6,6,6,7,7,7,7,7
Pitt Meadows Mun,20,20,21,21,22,22,22,23,22,22
Port Alberni Mun,34,34,34,35,35,35,35,34,34,34
Port Alberni Prov,7,7,7,7,7,7,7,7,7,7
Port Alice Prov,2,2,2,2,2,2,2,2,2,2
Port Coquitlam Mun,62,63,64,67,67,67,67,67,67,67
Port Hardy Prov,12,12,12,12,12,12,12,12,12,12
Port McNeill Prov,8,8,8,8,8,8,8,8,9,9
Port Moody Mun,40,45,46,46,50,50,50,50,51,51
Powell River Mun,18,18,18,18,18,18,18,18,18,18
Powell River Prov,6,5,5,5,5,5,5,5,5,5
Prince George Mun,124,128,130,130,130,128,128,128,128,135
Prince George Prov,7,7,7,7,7,7,7,7,7,7
Prince Rupert Mun,36,36,36,36,36,36,36,36,36,36
Prince Rupert Prov,4,4,4,4,6,6,6,6,6,6
Princeton Prov,7,7,7,7,7,7,7,7,7,7
Quadra Island Prov,4,4,4,4,4,4,4,4,4,4
Qualicum Beach Mun,7,7,7,7,8,8,8,8,8,8
Queen Charlotte City Prov,5,5,5,5,5,5,5,5,5,5
Quesnel Mun,21,21,21,21,21,21,21,21,21,21
Quesnel Prov,9,9,9,9,9,9,9,9,9,9
Revelstoke Mun,11,11,11,11,12,12,12,12,12,12
Revelstoke Prov,2,2,2,2,2,2,2,2,2,2
Richmond Mun,193,207,209,211,211,211,211,211,212,212
Ridge Meadows Prov,3,3,3,3,3,3,3,3,3,3
Saanich Mun,147,147,149,151,152,154,154,156,156,157
Salmon Arm Mun,17,18,19,19,19,19,19,19,19,19
Salmon Arm Prov,5,5,5,5,5,5,5,5,5,5
Saltspring Island Prov,8,8,8,8,8,8,8,8,8,8
Sayward Prov,3,3,3,3,3,3,3,4,3,3
Sechelt Mun,10,10,10,11,11,11,11,11,11,11
Shawnigan Lake Prov,11,11,11,11,11,11,11,11,11,11
Sicamous Prov,6,6,6,6,6,6,6,6,6,6
Sidney Mun,14,14,14,14,14,14,14,14,15,15
Sidney Prov,4,4,4,4,4,4,4,4,4,4
Smithers Mun,9,9,9,9,9,9,9,9,9,9
Smithers Prov,6,6,6,6,6,6,6,6,6,6
Sooke Mun,10,10,10,11,11,11,11,11,11,11
Sooke Prov,4,4,4,4,4,4,4,4,4,4
Spallumcheen Mun,,,,,,,3,3,3,3
Squamish Mun,25,25,25,25,25,25,25,25,25,25
Squamish Prov,6,7,7,7,7,7,7,7,7,7
Stewart Prov,3,3,3,3,3,3,3,4,4,4
Summerland Mun,9,9,9,9,9,9,9,9,9,9
Sunshine Coast Prov,21,22,22,22,22,22,22,22,22,22
Surrey Mun,572,588,610,630,641,651,661,673,703,803
Surrey Prov,1,,,,,,,,,
T'Kumlups Prov,8,10,10,8,8,8,8,8,8,8
Takla Landing Prov,1,1,1,1,1,1,1,1,1,1
Terrace Mun,25,25,25,25,25,25,25,25,25,25
Terrace Prov,7,7,7,7,7,7,7,7,7,7
Texada Island Prov,1,2,2,2,2,2,2,2,2,2
Tofino Prov,6,6,6,6,6,6,8,8,8,8
Trail Mun,12,14,14,14,14,14,14,14,14,14
Tsay Keh Dene Prov,2,2,2,2,2,2,2,2,3,3
Tumbler Ridge Prov,5,5,5,5,5,5,5,5,5,5
Ucluelet Prov,4,4,4,4,4,4,4,4,4,4
University Prov,17,17,17,17,17,17,17,17,17,17
Valemount Prov,4,4,4,4,4,4,4,6,6,6
Vancouver Mun,"1,214","1,235","1,239","1,327","1,327","1,327","1,327","1,327","1,327","1,327"
Vanderhoof Prov,9,9,9,9,9,9,9,9,9,9
Vernon Mun,49,53,57,65,65,56,56,56,56,56
Vernon Prov,8,8,8,10,12,12,12,12,9,9
Victoria Mun,221,222,241,241,243,243,243,243,243,243
View Royal Mun,8,8,8,8,8,8,8,8,9,9
Wells Prov,3,3,3,3,3,3,3,3,3,3
West Kelowna Mun,,,,21,21,21,23,23,23,23
West Shore Prov,5,5,5,5,5,5,5,5,5,5
West Vancouver Mun,79,80,81,81,81,81,81,81,80,79
Whistler Mun,23,23,24,24,24,24,24,24,24,24
Whistler Prov,3,4,4,4,4,4,4,4,4,4
White Rock Mun,23,23,23,23,23,23,23,23,23,23
Williams Lake Mun,24,24,24,24,24,24,24,24,24,24
Williams Lake Prov,10,10,9,9,9,9,9,9,9,9